,Genotype,20AARs,Probabilities,Type
0,"[0, 0]",0,0.2673623695467974,"(0, 0)"
1,"[1, 1]",2,0.0018264110779444578,"(1, 1)"
2,"[2, 2]",4,0.001635660239271978,"(2, 2)"
3,"[3, 3]",6,0.15979943914170452,"(3, 3)"
4,"[0, 1]",1,0.04419563750262013,"(0, 1)"
5,"[1, 2]",3,0.0034568123933818697,"(1, 2)"
6,"[1, 3]",4,0.03416778985522595,"(1, 3)"
7,"[0, 2]",2,0.041824107753554655,"(0, 2)"
8,"[2, 3]",5,0.03233435255959508,"(2, 3)"
9,"[0, 3]",3,0.4133974199299041,"(0, 3)"
10,[0],0,0.0,"(0,)"
11,[1],1,0.0,"(1,)"
12,[2],2,0.0,"(2,)"
13,[3],3,0.0,"(3,)"
14,"[0, x2]",0,0.0,"(0, 0.5)"
15,"[1, x2]",2,0.0,"(1, 0.5)"
16,"[2, x2]",4,0.0,"(2, 0.5)"
17,"[3, x2]",6,0.0,"(3, 0.5)"
