WGD,Types,Regions,Copy_number_1,Counts
FALSE,"('frameshift',)","(0,)","(1.0, 0.0)",1
FALSE,"('frameshift',)","(0,)","(1.0, 1.0)",13
FALSE,"('frameshift',)","(0,)","(2.0, 0.0)",2
FALSE,"('frameshift',)","(0,)","(3.0, 0.0)",2
FALSE,"('frameshift',)","(1,)","(1.0, 0.0)",10
FALSE,"('frameshift',)","(1,)","(1.0, 1.0)",8
FALSE,"('frameshift',)","(1,)","(2.0, 0.0)",31
FALSE,"('frameshift',)","(1,)","(3.0, 0.0)",2
FALSE,"('frameshift',)","(2,)","(1.0, 0.0)",17
FALSE,"('frameshift',)","(2,)","(1.0, 1.0)",8
FALSE,"('frameshift',)","(2,)","(2.0, 0.0)",14
FALSE,"('frameshift',)","(2,)","(3.0, 0.0)",2
FALSE,"('frameshift',)","(2,)","('n', 'k')",1
FALSE,"('frameshift',)","(3,)","(1.0, 0.0)",6
FALSE,"('frameshift',)","(3,)","(1.0, 1.0)",3
FALSE,"('frameshift',)","(3,)","(2.0, 0.0)",9
FALSE,"('frameshift',)","(3,)","('n', 'k')",1
FALSE,"('frameshift', 'frameshift')","(0, 1)","(1.0, 1.0)",7
FALSE,"('frameshift', 'frameshift')","(0, 2)","(1.0, 0.0)",3
FALSE,"('frameshift', 'frameshift')","(0, 2)","(1.0, 1.0)",21
FALSE,"('frameshift', 'frameshift')","(0, 3)","(1.0, 1.0)",14
FALSE,"('frameshift', 'frameshift')","(0, 3)","(2.0, 1.0)",11
FALSE,"('frameshift', 'frameshift')","(1, 2)","(1.0, 1.0)",1
FALSE,"('frameshift', 'frameshift')","(1, 3)","(1.0, 1.0)",1
FALSE,"('frameshift', 'frameshift')","(2, 2)","(2.0, 0.0)",1
FALSE,"('frameshift', 'frameshift')","(2, 3)","(1.0, 0.0)",1
FALSE,"('frameshift', 'frameshift')","(2, 3)","(1.0, 1.0)",3
FALSE,"('frameshift', 'frameshift', 'frameshift')","(0, 2, 2)","(1.0, 1.0)",8
FALSE,"('frameshift', 'frameshift', 'frameshift', 'frameshift')","(1, 1, 1, 1)","(1.0, 0.0)",1
FALSE,"('frameshift', 'frameshift', 'frameshift', 'frameshift', 'frameshift', 'frameshift')","(0, 3, 0, 3, 0, 3)","(1.0, 1.0)",1
FALSE,"('frameshift', 'stop_gained')","(0, 0)","(1.0, 1.0)",3
FALSE,"('stop_gained',)","(2,)","(1.0, 0.0)",13
FALSE,"('frameshift', 'stop_gained')","(0, 1)","(1.0, 1.0)",8
FALSE,"('frameshift', 'stop_gained')","(0, 2)","(1.0, 0.0)",4
FALSE,"('frameshift', 'stop_gained')","(0, 2)","(1.0, 1.0)",26
FALSE,"('frameshift', 'stop_gained')","(0, 2)","(2.0, 0.0)",1
FALSE,"('frameshift', 'stop_gained')","(0, 2)","(2.0, 1.0)",6
FALSE,"('frameshift', 'stop_gained')","(0, 3)","(1.0, 1.0)",1
FALSE,"('frameshift', 'stop_gained')","(1, 2)","(1.0, 1.0)",1
FALSE,"('frameshift', 'stop_gained')","(3, 3)","(1.0, 1.0)",1
FALSE,"('frameshift', 'stop_gained', 'frameshift')","(0, 1, 3)","(1.0, 1.0)",1
FALSE,"('frameshift', 'stop_gained', 'frameshift', 'stop_gained')","(0, 2, 0, 2)","(1.0, 1.0)",1
FALSE,"('stop_gained',)","(0,)","(1.0, 0.0)",14
FALSE,"('stop_gained',)","(0,)","(1.0, 1.0)",25
FALSE,"('stop_gained',)","(0,)","(2.0, 0.0)",16
FALSE,"('stop_gained',)","(0,)","(2.0, 1.0)",4
FALSE,"('stop_gained',)","(1,)","(1.0, 0.0)",16
FALSE,"('stop_gained',)","(1,)","(1.0, 1.0)",7
FALSE,"('stop_gained',)","(1,)","(2.0, 0.0)",32
FALSE,"('stop_gained',)","(1,)","(2.0, 1.0)",1
FALSE,"('stop_gained',)","(1,)","(3.0, 0.0)",3
FALSE,"('stop_gained',)","(1,)","(4.0, 0.0)",1
FALSE,"('stop_gained',)","(1,)","('n', 'k')",1
FALSE,"('stop_gained',)","(2,)","(1.0, 0.0)",11
FALSE,"('stop_gained',)","(2,)","(1.0, 1.0)",3
FALSE,"('stop_gained',)","(2,)","(1.0, 0.0)",29
FALSE,"('stop_gained',)","(2,)","(3.0, 0.0)",1
FALSE,"('stop_gained',)","(2,)","('n', 'k')",1
FALSE,"('stop_gained',)","(3,)","(1.0, 0.0)",1
FALSE,"('stop_gained',)","(3,)","(1.0, 1.0)",1
FALSE,"('stop_gained', 'frameshift')","(0, 0)","(1.0, 1.0)",1
FALSE,"('stop_gained', 'frameshift')","(0, 1)","(1.0, 0.0)",1
FALSE,"('stop_gained', 'frameshift')","(0, 1)","(1.0, 1.0)",17
FALSE,"('stop_gained', 'frameshift')","(0, 2)","(1.0, 0.0)",2
FALSE,"('stop_gained', 'frameshift')","(0, 2)","(1.0, 1.0)",25
