STUDY_ID	SAMPLE_ID	APC
coad_caseccc_2015	coad_caseccc_11843	NP
coad_caseccc_2015	coad_caseccc_15937	NP
coad_caseccc_2015	coad_caseccc_7525	NP
coad_caseccc_2015	coad_caseccc_9041	NP
coad_caseccc_2015	coad_caseccc_8685a	NP
coad_caseccc_2015	coad_caseccc_11835	NP
coad_caseccc_2015	coad_caseccc_11893	NP
coad_caseccc_2015	coad_caseccc_15807	NP
coad_caseccc_2015	coad_caseccc_9347	NP
coad_caseccc_2015	coad_caseccc_9339	NP
coad_caseccc_2015	coad_caseccc_15861	NP
coad_caseccc_2015	coad_caseccc_9587	NP
coad_caseccc_2015	coad_caseccc_5804	NP
coad_caseccc_2015	coad_caseccc_15960	NP
coad_caseccc_2015	coad_caseccc_8705a	NP
coad_caseccc_2015	coad_caseccc_13260	NP
coad_caseccc_2015	coad_caseccc_15927	NP
coad_caseccc_2015	coad_caseccc_15972	NP
coad_caseccc_2015	coad_caseccc_15919	NP
coad_caseccc_2015	coad_caseccc_2089	NP
coad_caseccc_2015	coad_caseccc_9029	NP
coad_caseccc_2015	coad_caseccc_11604	NP
coad_caseccc_2015	coad_caseccc_11677	NP
coad_caseccc_2015	coad_caseccc_11027	NP
coad_caseccc_2015	coad_caseccc_15931	NP
coad_caseccc_2015	coad_caseccc_15873	NP
coad_caseccc_2015	coad_caseccc_5363	NP
coad_caseccc_2015	coad_caseccc_15245	NP
coad_caseccc_2015	coad_caseccc_15968	NP
coad_cptac_2019	01CO001	0
coad_cptac_2019	01CO005	0
coad_cptac_2019	01CO006	0
coad_cptac_2019	01CO008	-1
coad_cptac_2019	01CO013	0
coad_cptac_2019	01CO014	0
coad_cptac_2019	01CO015	-1
coad_cptac_2019	01CO019	0
coad_cptac_2019	01CO022	0
coad_cptac_2019	05CO002	0
coad_cptac_2019	05CO003	0
coad_cptac_2019	05CO004	NP
coad_cptac_2019	05CO006	0
coad_cptac_2019	05CO007	0
coad_cptac_2019	05CO011	0
coad_cptac_2019	05CO015	0
coad_cptac_2019	05CO020	-1
coad_cptac_2019	05CO026	0
coad_cptac_2019	05CO028	0
coad_cptac_2019	05CO029	0
coad_cptac_2019	05CO032	0
coad_cptac_2019	05CO033	0
coad_cptac_2019	05CO034	0
coad_cptac_2019	05CO035	0
coad_cptac_2019	05CO037	0
coad_cptac_2019	05CO039	0
coad_cptac_2019	05CO041	0
coad_cptac_2019	05CO044	0
coad_cptac_2019	05CO045	NP
coad_cptac_2019	05CO047	0
coad_cptac_2019	05CO048	0
coad_cptac_2019	05CO049	0
coad_cptac_2019	05CO050	0
coad_cptac_2019	05CO053	0
coad_cptac_2019	05CO054	0
coad_cptac_2019	06CO001	0
coad_cptac_2019	06CO002	0
coad_cptac_2019	09CO005	0
coad_cptac_2019	09CO006	0
