,MSS-stopgained,Bins1,MSS-frameshifts,Bins2,POLE-stopgained,Bins3,MSI-stopgained,Bins4,MSI-frameshifts,Bins5
0,2,24.0,1,59.0,1,28.0,1,74.0,1,89.0
1,2,39.53,0,74.2,0,43.49,1,88.73,0,104.02
2,0,55.06,0,89.4,0,58.980000000000004,0,103.46000000000001,0,119.03999999999999
3,0,70.59,0,104.6,0,74.47,0,118.19,0,134.06
4,0,86.12,1,119.8,0,89.96000000000001,0,132.92000000000002,0,149.07999999999998
5,0,101.64999999999999,4,135.0,0,105.45,0,147.65,1,164.1
6,1,117.17999999999999,1,150.2,0,120.94,0,162.38,0,179.12
7,1,132.70999999999998,4,165.39999999999998,0,136.43,0,177.11,0,194.14
8,1,148.24,2,180.6,0,151.92000000000002,0,191.84,0,209.16
9,1,163.76999999999998,4,195.79999999999998,0,167.41,11,206.57,0,224.18
10,2,179.29999999999998,2,211.0,0,182.9,6,221.3,0,239.2
11,0,194.82999999999998,6,226.2,0,198.39000000000001,0,236.03,0,254.22
12,126,210.35999999999999,0,241.39999999999998,0,213.88,0,250.76,0,269.24
13,50,225.89,0,256.6,0,229.37,0,265.49,3,284.26
14,2,241.42,1,271.79999999999995,0,244.86,0,280.22,0,299.28
15,3,256.95,8,287.0,0,260.35,0,294.95000000000005,0,314.29999999999995
16,34,272.48,0,302.2,1,275.84000000000003,0,309.68,0,329.32
17,13,288.01,0,317.4,1,291.33,4,324.40999999999997,0,344.34000000000003
18,0,303.53999999999996,1,332.59999999999997,0,306.82,1,339.14,0,359.36
19,4,319.07,0,347.8,0,322.31,0,353.87,0,374.38
20,1,334.59999999999997,1,363.0,0,337.8,0,368.6,0,389.4
21,0,350.13,1,378.2,0,353.29,0,383.33,1,404.42
22,0,365.65999999999997,2,393.4,0,368.78000000000003,0,398.06,0,419.44
23,0,381.19,5,408.59999999999997,0,384.27,1,412.79,1,434.46
24,7,396.71999999999997,3,423.79999999999995,0,399.76,0,427.52,0,449.48
25,6,412.25,0,439.0,0,415.25,0,442.25,0,464.5
26,2,427.78,4,454.2,0,430.74,0,456.98,1,479.52
27,4,443.31,0,469.4,0,446.23,0,471.71000000000004,0,494.53999999999996
28,3,458.84,1,484.59999999999997,0,461.72,4,486.44,0,509.56
29,2,474.37,1,499.79999999999995,1,477.21,0,501.17,0,524.5799999999999
30,23,489.9,1,515.0,0,492.7,0,515.9000000000001,0,539.5999999999999
31,0,505.43,7,530.2,0,508.19,0,530.63,0,554.62
32,5,520.96,5,545.4,0,523.6800000000001,3,545.36,4,569.64
33,2,536.49,3,560.5999999999999,0,539.1700000000001,3,560.09,3,584.66
34,38,552.02,4,575.8,1,554.66,0,574.8199999999999,0,599.6800000000001
35,3,567.55,3,591.0,0,570.15,0,589.5500000000001,1,614.6999999999999
36,3,583.0799999999999,3,606.1999999999999,0,585.64,0,604.28,0,629.72
37,3,598.61,2,621.4,0,601.13,0,619.01,0,644.74
38,1,614.14,2,636.6,0,616.62,0,633.74,0,659.76
39,1,629.67,2,651.8,0,632.11,0,648.47,0,674.78
40,0,645.1999999999999,2,667.0,0,647.6,0,663.2,0,689.8
41,9,660.73,1,682.1999999999999,1,663.09,0,677.9300000000001,0,704.8199999999999
42,2,676.26,2,697.4,0,678.58,0,692.66,0,719.84
43,5,691.79,2,712.6,0,694.07,0,707.39,1,734.86
44,2,707.3199999999999,4,727.8,0,709.5600000000001,0,722.12,2,749.88
45,2,722.85,3,743.0,0,725.05,0,736.85,1,764.9
46,2,738.38,4,758.1999999999999,0,740.54,0,751.58,0,779.92
47,8,753.91,6,773.4,0,756.03,1,766.3100000000001,1,794.9399999999999
48,8,769.4399999999999,5,788.5999999999999,0,771.52,0,781.04,0,809.96
49,4,784.9699999999999,7,803.8,0,787.01,6,795.77,0,824.98
50,15,800.5,3,819.0,1,802.5,0,810.5,3,840.0
51,0,816.03,9,834.1999999999999,0,817.99,1,825.23,1,855.02
52,2,831.56,4,849.4,0,833.48,0,839.96,0,870.04
53,4,847.0899999999999,4,864.5999999999999,0,848.97,1,854.69,0,885.06
54,77,862.62,2,879.8,1,864.46,8,869.4200000000001,0,900.0799999999999
55,3,878.15,6,895.0,0,879.95,1,884.15,0,915.1
56,3,893.68,6,910.1999999999999,0,895.44,0,898.88,0,930.12
57,7,909.2099999999999,3,925.4,0,910.9300000000001,0,913.61,1,945.14
58,28,924.74,10,940.5999999999999,0,926.42,1,928.34,1,960.16
59,18,940.27,7,955.8,1,941.91,0,943.07,0,975.18
60,1,955.8,1,971.0,1,957.4,0,957.8000000000001,1,990.1999999999999
61,6,971.3299999999999,8,986.1999999999999,0,972.89,0,972.53,0,1005.22
62,7,986.86,4,1001.4,0,988.38,0,987.26,0,1020.24
63,1,1002.39,6,1016.5999999999999,0,1003.87,0,1001.99,0,1035.26
64,4,1017.92,2,1031.8,0,1019.36,0,1016.72,0,1050.28
65,3,1033.4499999999998,4,1047.0,0,1034.85,0,1031.45,0,1065.3
66,5,1048.98,3,1062.1999999999998,0,1050.3400000000001,1,1046.18,0,1080.32
67,4,1064.51,1,1077.4,0,1065.83,0,1060.91,0,1095.34
68,1,1080.04,4,1092.6,0,1081.32,0,1075.6399999999999,0,1110.3600000000001
69,6,1095.57,0,1107.8,0,1096.81,1,1090.37,0,1125.3799999999999
70,30,1111.1,6,1123.0,7,1112.3,1,1105.1000000000001,0,1140.3999999999999
71,0,1126.6299999999999,4,1138.2,0,1127.79,0,1119.83,2,1155.42
72,6,1142.1599999999999,4,1153.3999999999999,0,1143.28,0,1134.56,0,1170.44
73,6,1157.69,1,1168.6,0,1158.77,0,1149.29,0,1185.46
74,6,1173.22,2,1183.8,1,1174.26,0,1164.02,0,1200.48
75,8,1188.75,3,1199.0,1,1189.75,0,1178.75,0,1215.5
76,3,1204.28,3,1214.2,0,1205.24,0,1193.48,0,1230.52
77,4,1219.81,3,1229.3999999999999,0,1220.73,0,1208.21,0,1245.54
78,7,1235.34,3,1244.6,0,1236.22,0,1222.94,2,1260.56
79,4,1250.87,3,1259.8,0,1251.71,0,1237.67,0,1275.58
80,5,1266.3999999999999,12,1275.0,3,1267.2,0,1252.4,2,1290.6
81,65,1281.9299999999998,25,1290.2,0,1282.69,0,1267.13,1,1305.62
82,46,1297.46,109,1305.3999999999999,1,1298.18,0,1281.8600000000001,0,1320.6399999999999
83,39,1312.99,12,1320.6,0,1313.67,0,1296.5900000000001,0,1335.6599999999999
84,27,1328.52,12,1335.8,0,1329.16,0,1311.32,0,1350.68
85,71,1344.05,29,1351.0,1,1344.65,2,1326.05,0,1365.7
86,49,1359.58,19,1366.2,0,1360.14,1,1340.78,0,1380.72
87,43,1375.11,20,1381.3999999999999,0,1375.63,0,1355.51,0,1395.74
88,39,1390.6399999999999,39,1396.6,0,1391.1200000000001,0,1370.24,0,1410.76
89,9,1406.1699999999998,42,1411.8,0,1406.6100000000001,1,1384.97,1,1425.78
90,25,1421.7,28,1427.0,0,1422.1,1,1399.7,1,1440.8
91,97,1437.23,18,1442.2,4,1437.59,0,1414.43,15,1455.82
92,3,1452.76,41,1457.3999999999999,0,1453.08,0,1429.16,3,1470.84
93,3,1468.29,43,1472.6,0,1468.57,16,1443.89,1,1485.86
94,3,1483.82,63,1487.8,2,1484.06,0,1458.6200000000001,0,1500.8799999999999
95,1,1499.35,0,1503.0,0,1499.55,0,1473.3500000000001,0,1515.8999999999999
96,7,1514.8799999999999,4,1518.1999999999998,0,1515.04,0,1488.08,0,1530.92
97,4,1530.4099999999999,7,1533.3999999999999,4,1530.53,0,1502.81,36,1545.94
