,Genotype,20AARs,Probabilities,Type,Counts,Frequency,Progression,CIH,CIL
0,"[0, 0]",0,0.1733033750323532,"(0, 0)",35,0.03471552555448409,0.0036410132241864466,0.0024531301328745603,0.0049989113550642315
1,"[1, 1]",2,0.0009393869044232352,"(1, 1)",10,0.011571841851494697,0.18830913895512327,0.08863719033408608,0.2860548728009912
2,"[2, 2]",4,0.0012416847649258486,"(2, 2)",3,0.0019286403085824494,0.04363858166746316,0.0,0.09581628256398714
3,"[3, 3]",6,0.0014229717913711397,"(3, 3)",3,0.0057859209257473485,0.037432885608426135,0.0,0.08488181821842641
4,"[0, 1]",1,0.025518536086362106,"(0, 1)",123,0.12729026036644167,0.0869889626022835,0.06975416231504095,0.10773191859045757
5,"[1, 2]",3,0.002160020747671823,"(1, 2)",7,0.006750241080038573,0.05893423788850682,0.019891852626434794,0.10049295840170668
6,"[1, 3]",4,0.002312333078237407,"(1, 3)",2,0.0028929604628736743,0.015149183879465795,0.0,0.03966899774228568
7,"[0, 2]",2,0.02933858622959898,"(0, 2)",189,0.17936354869816779,0.11630130929252327,0.09525309257918893,0.1416156202826739
8,"[2, 3]",5,0.002658482570388444,"(2, 3)",6,0.003857280617164899,0.0409549560276335,0.013424891700624619,0.07417978230036254
9,"[0, 3]",3,0.031407375822914724,"(0, 3)",92,0.09546769527483125,0.05310826917158536,0.0406024488938599,0.06658030445134
10,[0],0,0.3317521750619334,"(0,)",67,0.05303760848601736,0.0036331052121695516,0.002720613080408003,0.004817276650661081
11,[1],1,0.024424884539803734,"(1,)",88,0.08196721311475409,0.06562757633144763,0.05022059023602203,0.08300531800153577
12,[2],2,0.028081218248330448,"(2,)",156,0.1523625843780135,0.1003017144732237,0.08116996434553088,0.12093711498979191
13,[3],3,0.030061345430504094,"(3,)",28,0.02892960462873674,0.016851581398646603,0.010397494290951412,0.024106751641589753
14,"[0, x2]",0,0.25252777504714324,"(0, 0.5)",51,0.03857280617164899,0.003640386275454713,0.0024634876645970184,0.004850522309843366
15,"[1, x2]",2,0.018592076291492395,"(1, 0.5)",130,0.13114754098360656,0.12619303751743088,0.10127773465588705,0.15438801604102173
16,"[2, x2]",4,0.021375255681564967,"(2, 0.5)",34,0.029893924783027964,0.029002262437636137,0.019925228331948954,0.03979070312898904
17,"[3, x2]",6,0.02288251667098073,"(3, 0.5)",13,0.01446480231436837,0.010291798036793719,0.0049960693761852484,0.01662682774499038
