,Genotype,20AARs,Probabilities
0,"[0, 0]",0,0.16982206190733035
1,"[1, 1]",2,0.001003941936207229
2,"[2, 2]",4,0.0014361404875018228
3,"[3, 3]",6,0.001879580933244924
4,"[0, 1]",1,0.026114477949363578
5,"[1, 2]",3,0.002401500915417834
6,"[1, 3]",4,0.0027473551800814536
7,"[0, 2]",2,0.031233849508259984
8,"[2, 3]",5,0.003285935043648609
9,"[0, 3]",3,0.03573201979207765
10,[0],0,0.324876987996632
11,[1],1,0.02497906586460864
12,[2],2,0.02987585605137912
13,[3],3,0.03417845371416123
14,"[0, x2]",0,0.24365774099747398
15,"[1, x2]",2,0.01873429939845648
16,"[2, x2]",4,0.022406892038534337
17,"[3, x2]",6,0.025633840285620924
