,Genotype,20AARs,Probabilities,Type,Counts,Frequency,Progression,CIH,CIL
0,"[0, 0]",0,0.17330337503235413,"(0, 0)",35,0.033751205400192864,0.0036472747838967416,0.002453403613250125,0.0050375540163347015
1,"[1, 1]",2,0.0009393869044232085,"(1, 1)",9,0.008678881388621022,0.18600558191246064,0.0917068174805968,0.28134856991373103
2,"[2, 2]",4,0.0012416847649258079,"(2, 2)",4,0.003857280617164899,0.043087506100042604,0.0,0.09583829201395251
3,"[3, 3]",6,0.001422971791371081,"(3, 3)",1,0.0009643201542912247,0.037696328659963516,0.0,0.08245920715687886
4,"[0, 1]",1,0.025518536086361808,"(0, 1)",138,0.133076181292189,0.08782109696991824,0.068795834165863,0.11049827584654871
5,"[1, 2]",3,0.002160020747671757,"(1, 2)",6,0.0057859209257473485,0.05981208586967307,0.018534781770734365,0.10417304056024679
6,"[1, 3]",4,0.0023123330782373265,"(1, 3)",3,0.0028929604628736743,0.015338372075510443,0.0,0.03965923811181148
7,"[0, 2]",2,0.02933858622959857,"(0, 2)",186,0.17936354869816779,0.11679724845307013,0.09558868490949139,0.1407097323486967
8,"[2, 3]",5,0.002658482570388346,"(2, 3)",4,0.003857280617164899,0.04032434798192642,0.013043657008582208,0.07633123150327874
9,"[0, 3]",3,0.031407375822914155,"(0, 3)",89,0.085824493731919,0.05329989620548145,0.041201323749983775,0.06742246309303743
10,[0],0,0.331752175061935,"(0,)",74,0.07135969141755062,0.0036470735742728275,0.0026473469224616323,0.0047450935407519065
11,[1],1,0.024424884539803446,"(1,)",84,0.08100289296046287,0.06541537192067377,0.050054158176514534,0.08192068549940633
12,[2],2,0.028081218248330063,"(2,)",161,0.15525554484088716,0.10067199636136073,0.08146170668551866,0.12376637769723417
13,[3],3,0.030061345430503553,"(3,)",29,0.027965284474445518,0.01675618976809668,0.010489722158614068,0.02325287438267134
14,"[0, x2]",0,0.2525277750471445,"(0, 0.5)",46,0.044358727097396335,0.0036332147877931793,0.002586504691036038,0.004926735132568871
15,"[1, x2]",2,0.018592076291492173,"(1, 0.5)",125,0.12054001928640308,0.12672323545007474,0.10132391558883878,0.1555843160733985
16,"[2, x2]",4,0.021375255681564672,"(2, 0.5)",33,0.03182256509161042,0.029001188666793885,0.020053181823481946,0.039917092196528045
17,"[3, x2]",6,0.02288251667098031,"(3, 0.5)",10,0.009643201542912247,0.01032199045899109,0.0050021559200269,0.016748011887596073
